project_title,location,contractor,contract_cost_raw,contract_cost_numeric,start_date,completion_date,region,contract_id,data_contractor,data_location
"Construction of Retarding Basin at Estero de Quiapo, Barangay 384, Manila",CITY OF MANILA,JELSIE CONSTRUCTION & SUPPLY,"47,375,366.03","47,375,366.03",02/17/2023,04/07/2024,National Capital Region,23OE0043,JELSIE CONSTRUCTION & SUPPLY,CITY OF MANILA
"Construction of Bank Protection along Agusan River (Dimasalang Section) San Luis, Agusan del Sur",AGUSAN DEL SUR,ARQ BUILDERS,"137,511,331.62","137,511,331.62",03/27/2023,04/06/2024,Region XIII,23N00099,ARQ BUILDERS,AGUSAN DEL SUR
"Construction of Calasuche Seawall, Sta. 1+286.90.00 - Sta. 1+361.90, Milagros, Masbate",MASBATE,SPRING STAR CONSTRUCTION AND SUPPLY,"57,900,000.00","57,900,000.00",08/09/2023,04/06/2024,Region V,23FI0024,SPRING STAR CONSTRUCTION AND SUPPLY,MASBATE
"Construction of Poblacion East Seawall, Sta. 0+250.00 - Sta. 0+322.00, Milagros, Masbate",MASBATE,"HKP CONSTRUCTION AND SUPPLY / DSB CONSTRUCTION & SUPPLY, INC. (FORMERLY: DSB CO","57,900,000.00","57,900,000.00",08/09/2023,04/06/2024,Region V,23FI0002,"HKP CONSTRUCTION AND SUPPLY / DSB CONSTRUCTION & SUPPLY, INC. (FORMERLY: DSB CO",MASBATE
"Construction of Shore Protection and Coastal Road Development along Barangay Poblacion 1, Sta. Cruz, Occidental Mindoro",OCCIDENTAL MINDORO,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"241,246,327.92","241,246,327.92",04/13/2023,04/06/2024,Region IV-B,2.30E+150,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,OCCIDENTAL MINDORO
"Construction of Flood Control Structure along Sta. Maria River at barangay Poblacion to barangay Bagbaguin, Sta. Maria, Bulacan",BULACAN,HALREY CONSTRUCTION INC.,"86,843,630.91","86,843,630.91",02/27/2023,04/06/2024,Region III,23CD0058,HALREY CONSTRUCTION INC.,BULACAN
"Construction of Cabicungan Flood Control Structure along Cabicungan River,Centro 6-Dibalio, Claveria, Cagayan",CAGAYAN,"SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.","77,200,000.00","77,200,000.00",04/12/2023,04/06/2024,Region II,23BC0080,"SKYLINE CONSTRUCTION, EQUIPMENT AND DEVELOPMENT CORPORATION(FORMERLY: EDDIE G. GUILLEN BUILDERS INC.",CAGAYAN
"Construction of Flood Control Structure along Tarusan Creek, Abuyog, Leyte",LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),"48,248,733.47","48,248,733.47",07/05/2023,04/05/2024,Region VIII,23I00062,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),LEYTE
"Construction of Flood Control Structure at Talave River (Upstream) along Bacolod North Road, San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,"48,250,000.00","48,250,000.00",02/10/2023,04/05/2024,Negros Island Region,23G00037,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,NEGROS OCCIDENTAL
"Construction of Flood Control Structures and Other Improvements, Zapote River, Brgy Molino 4, Bacoor, Cavite (Phase 3)",CAVITE,"E. F. CHUA CONSTRUCTION, INC.","79,199,149.37","79,199,149.37",07/17/2023,04/05/2024,Region IV-A,23D00163,"E. F. CHUA CONSTRUCTION, INC.",CAVITE
"Construction of Flood Control Structures along Zapote River, Brgy San Nicolas 3, Bacoor, Cavite",CAVITE,"E. F. CHUA CONSTRUCTION, INC.","56,428,250.88","56,428,250.88",06/15/2023,04/05/2024,Region IV-A,23D00165,"E. F. CHUA CONSTRUCTION, INC.",CAVITE
"Construction of Flood Control Structures along Zapote River at Barangay San Nicolas 1, Bacoor, Cavite",CAVITE,"E. F. CHUA CONSTRUCTION, INC.","19,797,210.25","19,797,210.25",07/17/2023,04/05/2024,Region IV-A,23D00168,"E. F. CHUA CONSTRUCTION, INC.",CAVITE
"Construction of Flood Control Structure along the Principe River, Agoo, La Union (Package 1)",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"72,364,531.35","72,364,531.35",05/12/2023,04/05/2024,Region I,23A00268,SILVERWOLVES CONSTRUCTION CORPORATION,LA UNION
"Construction of Flood Control Structure along the Principe River, Agoo, La Union (Package 2)",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,"72,373,497.78","72,373,497.78",05/12/2023,04/05/2024,Region I,23A00269,SILVERWOLVES CONSTRUCTION CORPORATION,LA UNION
"Rehabilitation of Riverwall along Tullahan River at Brgy. San Agustin to Brgy. Concepcion, Malabon City",MALABON CITY,"L.R. TIQUI BUILDERS, INC.","144,750,000.00","144,750,000.00",04/19/2023,04/05/2024,National Capital Region,23OA0084,"L.R. TIQUI BUILDERS, INC.",MALABON CITY
"Construction of Flood Mitigation Structure along Sto. Niño River protecting Sto. Niño Bridge, San Agustin, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),"106,149,442.10","106,149,442.10",03/27/2023,04/04/2024,Region XIII,23N00150,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),SURIGAO DEL SUR
"Construction of Flood Control Structure along Basak Creek, Mandaue City, Cebu, Phase II",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),"96,399,888.00","96,399,888.00",05/12/2023,04/04/2024,Region VII,23HN0114,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),CEBU
"Construction of Flood Control Structures Along San Miguel River, Sta. 10 + 910 to Sta. 11 + 210, San Miguel Bulacan",BULACAN,MRRM TRADING & CONSTRUCTION,"96,499,303.40","96,499,303.40",07/10/2023,04/04/2024,Region III,23C00227,MRRM TRADING & CONSTRUCTION,BULACAN
"Construction of Flood Control Structures along San Miguel River, Sta. 11 + 210 to Sta. 11 + 510, San Miguel, Bulacan",BULACAN,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,"96,496,468.60","96,496,468.60",07/10/2023,04/04/2024,Region III,23C00228,FLORDES CONSTRUCTION & TRADING CORP. (FORMERLY FLO,BULACAN
"Construction of Flood Control Structures along San Miguel River, Sta. 11 + 510 to Sta. 11 + 810, San Miguel, Bulacan",BULACAN,GLOBALCRETE BUILDERS INC.,"96,499,361.40","96,499,361.40",07/10/2023,04/04/2024,Region III,23C00229,GLOBALCRETE BUILDERS INC.,BULACAN
"Construction of Flood Control Structure along Maasim River, Sta. 8+400 - Sta. 8+705, Brgy. Upig, San Ildefonso, Bulacan",BULACAN,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"96,499,188.38","96,499,188.38",07/10/2023,04/04/2024,Region III,23C00233,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,BULACAN
"Construction of Revetment with Floodwall including Improvement of Riverbank along Lupit River, Phase 2, Bacolod City",NEGROS OCCIDENTAL,M.K.U. CONSTRUCTION AND SUPPLY,"49,000,000.00","49,000,000.00",03/03/2023,04/03/2024,Negros Island Region,23GO0015,M.K.U. CONSTRUCTION AND SUPPLY,NEGROS OCCIDENTAL
"Construction of Lubacan Flood Control Project, Barangay Lubacan, Guimbal, Iloilo",ILOILO,PANAY EAST COAST CONSTRUCTION & SUPPLY,"48,479,090.03","48,479,090.03",03/23/2023,04/03/2024,Region VI,23GF0078,PANAY EAST COAST CONSTRUCTION & SUPPLY,ILOILO
"Construction of Revetment along Baluno Bridge, Isabela City, Basilan",BASILAN,RCDG CONSTRUCTION CORPORATION / MMP CONSTRUCTION AND SUPPLIES,"66,305,107.01","66,305,107.01",05/26/2023,04/03/2024,Bangsamoro Autonomous Region in Muslim Mindanao,23JH0020,RCDG CONSTRUCTION CORPORATION / MMP CONSTRUCTION AND SUPPLIES,BASILAN
"Rehabilltation/Reconstruction of Subic Bridge River Revetment, Barangay Subic, Agoncillo Batangas K0115+838",BATANGAS,NDA BUILDERS AND DEVELOPERS,"3,666,700.00","3,666,700.00",01/05/2024,04/03/2024,Region IV-A,23DC0174,NDA BUILDERS AND DEVELOPERS,BATANGAS
"Construction of Apayao-Abulug River Basin Flood Control Structure, Capannikian Section, Sta. 34 + 440 - Sta. 34 + 995 (R/S), Pudtol, Apayao",APAYAO,TAGEL CORPORATION,"96,481,880.32","96,481,880.32",05/05/2023,04/03/2024,Cordillera Administrative Region,23PC0029,TAGEL CORPORATION,APAYAO
"Rehabilitation of Lala-an Seawall, Barangay Sto. Niño, San Jose, Negros Oriental",NEGROS ORIENTAL,UY CONDEV CORPORATION (FORMERLY:UY CONSTRUCTION &,"53,075,000.00","53,075,000.00",06/05/2023,04/02/2024,Negros Island Region,23HK0120,UY CONDEV CORPORATION (FORMERLY:UY CONSTRUCTION &,NEGROS ORIENTAL
"Construction of Flood Mitigation Structure along Brgy. Sta. Rosa and Brgy. Burgos, San Jacinto, Masbate",MASBATE,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"48,249,895.41","48,249,895.41",07/13/2023,04/02/2024,Region V,23F00163,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,MASBATE
"Rehabilltation/Reconstruction of Leviste Bridge I River Revetment, Barangay Leviste, Laurel Batangas K0090+1127",BATANGAS,RGB CONSTRUCTION (FORMERLY:REYBER CONSTRUCTION AND SUPPLY),"7,236,836.00","7,236,836.00",01/05/2024,04/02/2024,Region IV-A,23DC0175,RGB CONSTRUCTION (FORMERLY:REYBER CONSTRUCTION AND SUPPLY),BATANGAS
"Construction of Flood Control Structure along Meycauayan River, Meycauayan Section (Downstream), Meycauayan Bulacan",BULACAN,AZUL BUILDERS,"48,990,823.63","48,990,823.63",02/22/2023,04/02/2024,Region III,23CD0023,AZUL BUILDERS,BULACAN
"Construction of Carpentero-Compania Flood Control Phase II, Tumauini, Isabela",ISABELA,ARVEA'S CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),"108,668,817.10","108,668,817.10",05/25/2023,04/02/2024,Region II,23B00036,ARVEA'S CONSTRUCTION / EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),ISABELA
"Construction of Drainage Canal along Tamag Road, Barangay Tamag, Vigan City, Ilocos Sur",ILOCOS SUR,JMCQ CONSTRUCTION AND SUPPLY,"14,682,103.54","14,682,103.54",06/14/2023,04/02/2024,Region I,23AC0060,JMCQ CONSTRUCTION AND SUPPLY,ILOCOS SUR
"Construction of Flood Mitigation Structure along Baliguon River (Phase 2), Goa, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,"95,536,200.00","95,536,200.00",02/26/2023,04/01/2024,Region V,23FG0037,G.C.I. CONSTRUCTION AND DEV'T. CORP.,CAMARINES SUR
"Construction of Flood Control System of Mahaba Creek leading to Tambang River (Phase 2), Sitio Palayan, Brgy. Lamon, Goa, Camarines Sur",CAMARINES SUR,HGG BUILDERS & SUPPLY,"95,536,200.00","95,536,200.00",02/26/2023,04/01/2024,Region V,23FG0039,HGG BUILDERS & SUPPLY,CAMARINES SUR
"Construction of Flood Control Structure, Bohe-Bacung Bridge, Sumisip, Basilan",BASILAN,RCDG CONSTRUCTION CORPORATION / BOSH MEGATRADE AND SERVICES CO.,"49,113,586.10","49,113,586.10",05/11/2023,04/01/2024,Bangsamoro Autonomous Region in Muslim Mindanao,23JH0031,RCDG CONSTRUCTION CORPORATION / BOSH MEGATRADE AND SERVICES CO.,BASILAN
"Construction of Revetment along Ylang-Ylang River, Buenavista, Gen. Trias, Cavite (Phase IV)",CAVITE,I&E CONSTRUCTION CORPORATION (FORMERLY: I&E CONSTR / MOTIONTRADE DEVELOPMENT CORPORATION,"96,498,165.29","96,498,165.29",07/07/2023,04/01/2024,Region IV-A,23D00158,I&E CONSTRUCTION CORPORATION (FORMERLY: I&E CONSTR / MOTIONTRADE DEVELOPMENT CORPORATION,CAVITE
"Construction of Flood Control Structure along Bauang River, Downstream of Bauang Bridge 1, Brgys. Parian Este - Nagrebcan, Bauang, La Union",LA UNION,C.T. LEONCIO CONSTRUCTION & TRADING,"77,199,690.44","77,199,690.44",03/03/2023,04/01/2024,Region I,23A00244,C.T. LEONCIO CONSTRUCTION & TRADING,LA UNION
"Construction of Flood Mitigation Structure along Agay River, Brgy. Balang-Balang RTR, Agusan del Norte",AGUSAN DEL NORTE,ARQ BUILDERS,"24,153,330.25","24,153,330.25",05/25/2023,03/31/2024,Region XIII,23NA0034,ARQ BUILDERS,AGUSAN DEL NORTE
"Construction of Flood Control Structure, Pulangi River, Downstream of Pagalungan Bridge, Pikit, North Cotabato",COTABATO (NORTH COTABATO),"GEMMA CONSTRUCTION SUPPLY, INC.(FORMERLY:GEMMA CON","105,228,140.21","105,228,140.21",08/29/2023,03/31/2024,Region XII,23M00003,"GEMMA CONSTRUCTION SUPPLY, INC.(FORMERLY:GEMMA CON",COTABATO (NORTH COTABATO)
"Construction of Road Dike along Hitoma River, Phase I, Barangay Obi, Caramoran, Catanduanes",CATANDUANES,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","192,961,477.83","192,961,477.83",03/27/2023,03/31/2024,Region V,23F00040,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",CATANDUANES
"Construction of Pawili River Flood Mitigation Structure (Barangay Causip and Barangay Fabrica), Bula, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,"115,659,116.90","115,659,116.90",04/03/2023,03/31/2024,Region V,23F00042,G.C.I. CONSTRUCTION AND DEV'T. CORP.,CAMARINES SUR
"Construction of Agos River - Bato - Lake Flood Control, Sta. Cruz - San Vicente, Bato, Section, Bato, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"121,061,136.57","121,061,136.57",03/27/2023,03/31/2024,Region V,23F00084,BICOL GOLDROCK CONSTRUCTION CORPORATION,CAMARINES SUR
"Construction of San Isidro River Control (Downstream) Package 1, San Isidro, Sto. Domingo, Albay",ALBAY,TR CONSTRUCTION CORPORATION (FOR: TR CONSTRUCTION),"192,998,274.78","192,998,274.78",05/29/2023,03/31/2024,Region V,23F00050,TR CONSTRUCTION CORPORATION (FOR: TR CONSTRUCTION),ALBAY
"Construction of Flood Control Structure, Barangay Buli-Buli, Sumisip, Basilan",BASILAN,BOSH MEGATRADE AND SERVICES CO.,"39,595,356.53","39,595,356.53",03/02/2023,03/31/2024,Bangsamoro Autonomous Region in Muslim Mindanao,23JH0003,BOSH MEGATRADE AND SERVICES CO.,BASILAN
"Construction of Revetment along Imus River, Barangay Mabolo III, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"96,476,338.22","96,476,338.22",03/08/2023,03/31/2024,Region IV-A,23DQ0021,GRAIA CONSTRUCTION CORPORATION,CAVITE
"Construction of Revetment along Imus River, Barangay Salinas I, Bacoor City, Cavite",CAVITE,GRAIA CONSTRUCTION CORPORATION,"96,458,053.16","96,458,053.16",03/08/2023,03/31/2024,Region IV-A,23DQ0022,GRAIA CONSTRUCTION CORPORATION,CAVITE
"Construction of Poblacion-Macaiban Dike, Santa Maria, Bulacan (Phase I)",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"86,849,185.16","86,849,185.16",04/24/2023,03/31/2024,Region III,23CD0119,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),BULACAN
"Construction of Flood Control Structure, Santa Maria River and its tributaries (Bagbaguin-Bolacan), Bagbaguin, Santa Maria, Bulacan",BULACAN,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),"86,846,618.32","86,846,618.32",04/24/2023,03/31/2024,Region III,23CD0121,M3 KONSTRACT CORPORATION (FORMERLY:MARGARITA CONSTRUCTION),BULACAN
"Construction of Aguang Flood Control Structure, Baler, Aurora",AURORA,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST. / 4VC BUILDERS & DEVELOPMENT CORP.","192,999,618.65","192,999,618.65",07/06/2023,03/31/2024,Region III,23C00101,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST. / 4VC BUILDERS & DEVELOPMENT CORP.",AURORA
"Construction of Bulos Flood Control Structure, Dipaculao, Aurora",AURORA,R.D. TALENS CONSTRUCTION AND TRADING,"192,999,742.19","192,999,742.19",06/20/2023,03/31/2024,Region III,23C00102,R.D. TALENS CONSTRUCTION AND TRADING,AURORA
"Construction of Abitonan Flood Control Structure, Dipaculao, Aurora",AURORA,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST. / 4VC BUILDERS & DEVELOPMENT CORP.","192,999,941.76","192,999,941.76",06/26/2023,03/31/2024,Region III,23C00100,"PERSAN CONSTRUCTION, INC. (FORMERLY: PERSAN CONST. / 4VC BUILDERS & DEVELOPMENT CORP.",AURORA
"Construction of Slope Protection Structure along Marikina River, Barangay Bagong Silangan, Quezon City",QUEZON CITY,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES),"42,762,228.48","42,762,228.48",02/14/2023,03/31/2024,National Capital Region,23OF0036,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES),QUEZON CITY
"Construction of Box Culvert along C. Aguila St., San Miguel, Manila City",CITY OF MANILA,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"74,700,405.94","74,700,405.94",03/09/2023,03/31/2024,National Capital Region,23OE0090,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,CITY OF MANILA
"Construction of Shoreline Protection Structure - Bdry. So. Leyte - Maasin - Macrohon - Sogod - Jct. Daang Maharlika Rd. - along Macrohon Section, Macrohon, Southern Leyte",SOUTHERN LEYTE,ST. TIMOTHY CONSTRUCTION CORPORATION,"84,354,739.01","84,354,739.01",02/21/2023,03/30/2024,Region VIII,23IL0014,ST. TIMOTHY CONSTRUCTION CORPORATION,SOUTHERN LEYTE
"Construction of Flood Control Structure at Sagpat River (Maloma Section), San Felipe, Zambales",ZAMBALES,"R.A. PAHATI CONST. & SUPPLY, INC.","96,500,000.00","96,500,000.00",06/05/2023,03/30/2024,Region III,23C00073,"R.A. PAHATI CONST. & SUPPLY, INC.",ZAMBALES
"Construction of Spur Dikes along Daguitan-Marabong River, Daguitan-Marabong River Basin, Barangay Batug, Dulag, Leyte",LEYTE,LANOY CONSTRUCTION,"63,371,976.78","63,371,976.78",04/26/2023,03/29/2024,Region VIII,23ID0055,LANOY CONSTRUCTION,LEYTE
"Construction of Bicol River Cut-off Channel 3 Flood Mitigation Structure, Milaor, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,"144,268,222.82","144,268,222.82",05/04/2023,03/29/2024,Region V,23F00075,G.C.I. CONSTRUCTION AND DEV'T. CORP.,CAMARINES SUR
"Construction of Subang Daku Flood Control (San Isidro Section), Sogod, Southern Leyte",SOUTHERN LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),"19,299,932.00","19,299,932.00",09/11/2023,03/28/2024,Region VIII,23I00143,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),SOUTHERN LEYTE
"Construction of Flood Mitigation Structure along Mananga River, Barangay Buot-Taup, Cebu City",CEBU,A.S.T BUILDERS / TRI4 CONSTRUCTION & DEVELOPMENT CORP.,"86,704,127.07","86,704,127.07",06/20/2023,03/28/2024,Region VII,23HH0097,A.S.T BUILDERS / TRI4 CONSTRUCTION & DEVELOPMENT CORP.,CEBU
"Construction of River Control Structures at Bgry. Ylaya - Barangay Paculob (Upstream), Dumanjug, Cebu",CEBU,QM BUILDERS,"86,845,976.88","86,845,976.88",04/11/2023,03/28/2024,Region VII,23HO0145,QM BUILDERS,CEBU
"Construction of Seawall, Bien Unido, Bohol",BOHOL,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),"78,399,988.26","78,399,988.26",04/17/2023,03/28/2024,Region VII,23HC0076,LABB CONSTRUCTION DEVELOPMENT INC. (FORMERLY: LABB CONSTRUCTION),BOHOL
"Construction of Bank Protection along Solibao River Downstream, Agusan del Sur, Caraga",AGUSAN DEL SUR,CM TAN CONSTRUCTION,"144,749,195.24","144,749,195.24",04/20/2023,03/27/2024,Region XIII,23N00102,CM TAN CONSTRUCTION,AGUSAN DEL SUR
"Construction of Bank Protection along Solibao River Upstream, Agusan del Sur, Caraga",AGUSAN DEL SUR,CM TAN CONSTRUCTION,"144,749,601.35","144,749,601.35",04/20/2023,03/27/2024,Region XIII,23N00103,CM TAN CONSTRUCTION,AGUSAN DEL SUR
"Flood Mitigation along Adlayan River Bank (Downstream) San Francisco, Agusan Del Sur",AGUSAN DEL SUR,"YES CONSTRUCTION / ARN BUILDERS, INC. (FOR: ARN BUILDERS)","48,999,999.42","48,999,999.42",06/20/2023,03/27/2024,Region XIII,23NC0056,"YES CONSTRUCTION / ARN BUILDERS, INC. (FOR: ARN BUILDERS)",AGUSAN DEL SUR
"Construction of Riverbank Protection/Esplanade along Barit River, Brgy. Sagrada Familia Section Phase 2, Buhi, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"139,859,923.42","139,859,923.42",03/22/2023,03/27/2024,Region V,23FN0044,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,CAMARINES SUR
"Construction of Revetment along Bay River, Barangay San Isidro and Barangay Dila, Bay, Laguna",LAGUNA,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP. / FOURTH GENERATION T CONSTRUCTION,"72,369,586.56","72,369,586.56",02/23/2023,03/27/2024,Region IV-A,23DI0016,ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP. / FOURTH GENERATION T CONSTRUCTION,LAGUNA
"Construction of Flood Control along Libmanan River, Brgy. Umalo, Libmanan, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"72,358,567.14","72,358,567.14",04/05/2023,03/26/2024,Region V,23FE0063,BICOL GOLDROCK CONSTRUCTION CORPORATION,CAMARINES SUR
"Construction of Flood Control along Libmanan River, Brgy. Tampuhan, Libmanan, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"70,928,316.10","70,928,316.10",04/05/2023,03/26/2024,Region V,23FE0065,BICOL GOLDROCK CONSTRUCTION CORPORATION,CAMARINES SUR
"Construction of Flood Mitigation Structure (Installation of Automatic Trash Screen) at Maya Creek, Barangay Rizal, Makati City",MAKATI CITY,KING EIGHT BUILDERS AND SUPPLY,"61,469,424.33","61,469,424.33",07/31/2023,03/26/2024,National Capital Region,23OC0016,KING EIGHT BUILDERS AND SUPPLY,MAKATI CITY
"Rehabilitation of Drainage System at Barangay Pinagbuhatan and Vicinity, Pasig City",PASIG CITY,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION),"29,782,000.00","29,782,000.00",09/05/2023,03/26/2024,National Capital Region,23OB0309,DAHL CONSTRUCTION CORP. (FORMERLY: DAHL CONSTRUCTION),PASIG CITY
"Construction of Box Culvert Rainbow Street, Barangay Concepcion Dos, Marikina City",MARIKINA CITY,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC. / J.M.L.R. CONSTRUCTION AND SUPPLY,"41,878,276.31","41,878,276.31",02/06/2023,03/26/2024,National Capital Region,23OB0036,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC. / J.M.L.R. CONSTRUCTION AND SUPPLY,MARIKINA CITY
"Construction of Flood Mitigation Structure, Sitio Panamucan, Brgy. San Jose, Malaybalay City, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,"96,500,000.00","96,500,000.00",08/31/2023,03/25/2024,Region X,23KA0076,ROSBILL CONSTRUCTION AND SUPPLY,BUKIDNON
"Construction of Aganan Flood Control Structure (Jaro-Aganan River), Barangay Bagumbayan, Alimodian, Iloilo",ILOILO,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)","96,499,785.68","96,499,785.68",02/10/2023,03/25/2024,Region VI,23GI0029,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",ILOILO
"Construction of Flood Control / Revetment Wall along Aklan River, Barangay Daguitan, Banga, Aklan",AKLAN,"F. GURREA CONSTRUCTION, INCORPORATED","48,999,991.80","48,999,991.80",03/17/2023,03/25/2024,Region VI,23GA0104,"F. GURREA CONSTRUCTION, INCORPORATED",AKLAN
"Construction of Claudio Salgado Riverbank Protection Works along Amnay River, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","217,120,406.70","217,120,406.70",02/11/2023,03/25/2024,Region IV-B,2.30E+33,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",OCCIDENTAL MINDORO
"Construction of Flood Mitigation Structure along Tanza River and Malabon-Navotas River, Malabon City (Phase 3)",MALABON CITY,DMLC BUILDERS,"62,725,000.00","62,725,000.00",03/22/2023,03/25/2024,National Capital Region,23OA0051,DMLC BUILDERS,MALABON CITY
"Construction of Shoreline Protection Structure - Liloan San Ricardo Rd. (S00218LT) - along Liloan Section, Southern Leyte",SOUTHERN LEYTE,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),"48,248,051.51","48,248,051.51",09/11/2023,03/24/2024,Region VIII,23I00144,JUCONS CONSTRUCTION OPC (FORMERLY:JUCONS CONSTRUCTION &SUPPLY),SOUTHERN LEYTE
"Construction of Revetment along Suhi River, Phase 2, Tacloban City",LEYTE,EZJONES CONSTRUCTION INC.,"55,285,766.28","55,285,766.28",03/23/2023,03/24/2024,Region VIII,23IM0043,EZJONES CONSTRUCTION INC.,LEYTE
"Construction of Flood Control Structure (Phase 4), Barangay San Antonio, Labo, Camarines Norte",CAMARINES NORTE,C.B. GARAY PHILWIDE BUILDERS,"48,969,976.29","48,969,976.29",04/05/2023,03/24/2024,Region V,23FC0045,C.B. GARAY PHILWIDE BUILDERS,CAMARINES NORTE
"Construction of Flood Control Structure at Ermitaño Creek, Brgy. Little Baguio, San Juan City",SAN JUAN CITY,WAWAO BUILDERS / DRJY CONSTRUCTION,"91,675,968.42","91,675,968.42",03/22/2023,03/24/2024,National Capital Region,23OB0423,WAWAO BUILDERS / DRJY CONSTRUCTION,SAN JUAN CITY
"Construction of Mala-Lawasaig River Flood Control with Street Pile and Slope Protection, Barangay Lilod Baclayan, Ditsaan-Ramain, Lanao del Sur",LANAO DEL SUR,M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.,"114,640,737.09","114,640,737.09",05/29/2023,03/23/2024,Bangsamoro Autonomous Region in Muslim Mindanao,23K00166,M.M.A. ACHIEVER CONSTRUCTION & DEVELOPMENT CORP.,LANAO DEL SUR
